"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","404","POST NegativeTest 401 for AuthToken Endpoint","Test API Validation Suite","Fri Oct 04 23:18:35 UTC 2024","passed","Fri Oct 04 23:18:36 UTC 2024","","","",""
"","737","POST NegativeTest 422 Invalid Sim Package","Test API Validation Suite","Fri Oct 04 23:18:36 UTC 2024","passed","Fri Oct 04 23:18:37 UTC 2024","","","",""
"","13642","Tariff Validation Test Japan","Test Tariff Validation Suite","Fri Oct 04 23:18:09 UTC 2024","passed","Fri Oct 04 23:18:22 UTC 2024","","","",""
"","672","POST NegativeTest 422 Invalid Sim Quantity and Sim Package","Test API Validation Suite","Fri Oct 04 23:18:37 UTC 2024","passed","Fri Oct 04 23:18:38 UTC 2024","","","",""
"","803","GET Sim Packages Info and Validate POST Creation","Test API Validation Suite","Fri Oct 04 23:18:32 UTC 2024","passed","Fri Oct 04 23:18:33 UTC 2024","","","",""
"","2652","POST Sim Package by Airalo Partners","Test API Validation Suite","Fri Oct 04 23:18:29 UTC 2024","passed","Fri Oct 04 23:18:32 UTC 2024","","","",""
"","771","POST NegativeTest 422 Invalid Sim Quantity","Test API Validation Suite","Fri Oct 04 23:18:37 UTC 2024","passed","Fri Oct 04 23:18:37 UTC 2024","","","",""
"","836","POST NegativeTest 422 for AuthToken Endpoint","Test API Validation Suite","Fri Oct 04 23:18:35 UTC 2024","passed","Fri Oct 04 23:18:35 UTC 2024","","","",""
"","386","GET Sim Info with Out of Range of Limit","Test API Validation Suite","Fri Oct 04 23:18:39 UTC 2024","passed","Fri Oct 04 23:18:39 UTC 2024","","","",""
"","690","POST NegativeTest 422 Invalid Brand","Test API Validation Suite","Fri Oct 04 23:18:38 UTC 2024","passed","Fri Oct 04 23:18:39 UTC 2024","","","",""
